,player,minutes_played,assists,shots,shots_on_target,yellow_cards,red_cards,team_touches,pressures,tackles,interceptions,blocks,xg,op_xg,xa,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,progressive_distance_passed,carries,progressive_distance_carried,dribbles_completed,dribbles_attempted,defensive_pen_area_touches,D3_touches,M3_touches,A3_touches,attacking_pen_area_touches,shot_on_target_blocks,live_ball_touches,players_dribbles_past,carries_total_distance,pass_target,passes_received,miscontrols,possessions_lost,total_distance_passed,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,key_passes,final_third_entry_passes,penalty_area_entry_passes,penalty_area_entry_crosses,progressive_passes,tackles_attempted,tackles_won,D3_tackles,M3_tackles,A3_tackles,dribbler_tackles_completed,dribbler_tackles_attempted,pressure_regains,D3_pressures,M3_pressures,A3_pressures,shot_blocks,errors,live_ball_passes,dead_ball_passes,free_kicks_taken,through_balls,pressured_passes,switch_passes,crosses,corners,ground_passes,low_passes,hight_passes,left_foot_passes,right_foot_passes,head_passes,throw_ins_taken,other_pass_type,passes_to_offside,passes_out_of_play,passes_intercepted,passes_blocked,pass_blocks,fouls,fouls_drawn,offside,penalties_won,penalties_conceded,ball_recoveries,aerials_won,aerials_lost,team_result,date
51,S�amus Coleman,55,0,1,0,0,0,37,9,3,2,0,0.1,0.1,0.0,1,0,24,30,2,23,2,0,0,4,19,16,5,0,0,32,0,129,19,19,1,1,433,8,8,14,16,2,5,1,0,1,0,2,3,0,1,2,0,1,1,1,6,3,0,0,0,25,5,0,0,2,0,0,0,18,5,7,9,16,0,5,0,0,1,0,1,0,2,0,0,0,0,5,0,0,L,14/02/2021
52,Michael Keane,35,0,1,1,1,0,55,0,0,0,0,0.0,0.0,0.0,2,0,48,53,5,46,5,1,1,3,18,36,5,1,0,54,1,163,49,48,0,0,1276,7,7,25,27,15,18,0,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,1,0,4,2,0,0,40,3,10,6,43,2,0,0,0,1,0,0,0,1,0,0,0,0,3,2,1,L,14/02/2021
53,Robin Olsen,90,0,0,0,0,0,25,0,0,0,0,0.0,0.0,0.0,0,0,15,23,0,11,0,0,0,22,25,0,0,0,0,15,0,42,9,9,0,0,408,1,1,9,9,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,4,0,1,0,0,0,14,1,8,1,21,0,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,L,14/02/2021
54,Richarlison,90,0,1,1,1,0,31,14,1,1,0,0.9,0.9,0.0,1,0,12,18,0,20,1,0,1,0,4,19,9,2,0,30,0,84,44,21,4,2,228,5,8,5,6,2,3,0,1,0,0,0,1,0,1,0,0,0,2,6,4,7,3,0,0,17,1,0,0,6,0,1,0,13,1,4,4,11,1,0,0,0,0,0,1,0,1,4,0,0,0,7,3,6,L,17/02/2021
55,Gylfi Sigur�sson,90,0,1,0,0,0,38,19,1,1,1,0.1,0.1,0.0,0,0,27,29,4,20,1,0,0,1,13,15,10,1,0,36,0,92,29,20,1,3,478,11,12,14,14,2,3,0,3,1,0,4,1,1,0,1,0,1,1,5,3,12,4,0,0,27,2,0,0,4,0,0,0,22,4,3,3,23,2,0,0,0,1,0,0,1,0,0,0,0,0,11,2,1,L,17/02/2021
56,Lucas Digne,90,0,1,0,0,0,29,15,3,2,0,0.1,0.1,0.0,1,1,11,19,2,11,0,0,0,5,10,9,10,1,0,28,0,20,25,19,2,0,192,6,7,4,6,1,6,0,0,2,0,2,3,2,2,1,0,1,2,4,6,7,2,0,0,18,1,1,0,3,1,3,0,8,1,10,12,2,4,0,0,0,2,0,0,0,2,0,0,0,0,1,2,1,L,17/02/2021
57,Alex Iwobi,68,0,0,0,0,0,26,12,3,0,1,0.0,0.0,0.1,2,0,18,20,2,25,2,4,6,0,8,10,12,0,0,26,4,179,26,15,1,1,373,7,8,6,6,5,6,1,0,1,0,2,3,1,2,1,0,1,2,5,6,5,1,0,0,20,0,0,0,4,1,1,0,17,2,1,4,15,0,0,0,0,1,0,0,1,0,0,0,0,0,8,1,1,L,17/02/2021
58,Joshua King,22,0,0,0,0,0,7,7,1,0,1,0.0,0.0,0.0,0,0,1,4,0,2,1,0,0,0,1,1,5,1,0,7,0,12,6,4,1,0,9,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,0,0,4,0,0,0,0,0,1,0,1,2,1,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,L,17/02/2021
59,Tom Davies,68,0,0,0,0,0,28,11,2,4,0,0.0,0.0,0.0,0,0,14,18,1,16,0,0,1,2,15,14,1,0,0,28,0,65,18,18,1,1,295,4,4,7,7,3,4,0,0,0,0,1,2,2,2,0,0,1,1,7,4,7,0,0,0,18,0,0,0,5,0,0,0,11,3,4,2,16,0,0,0,0,0,0,3,0,2,2,0,0,0,3,0,0,L,17/02/2021
60,James Rodr�guez,22,0,0,0,0,0,20,9,0,0,2,0.0,0.0,0.0,0,0,11,15,1,11,2,0,1,1,4,14,3,0,0,17,0,72,11,9,0,1,191,6,7,4,4,1,4,0,2,0,0,1,0,0,0,0,0,0,1,1,2,7,0,0,0,12,3,1,0,2,1,1,0,8,2,5,13,1,0,1,0,0,1,1,0,2,0,1,0,0,0,4,0,0,L,17/02/2021
61,Abdoulaye Doucour�,90,0,0,0,1,0,40,26,3,0,0,0.0,0.0,0.0,0,0,21,32,3,20,3,0,0,2,16,17,10,2,0,40,0,132,26,22,1,1,370,10,14,10,12,1,4,0,2,0,0,3,3,3,2,1,0,2,4,8,14,8,4,0,0,32,0,0,0,9,0,1,0,19,9,4,7,23,1,0,0,0,0,1,2,0,1,2,0,0,0,11,1,1,L,17/02/2021
62,Ben Godfrey,90,0,0,0,0,0,37,13,2,1,5,0.0,0.0,0.0,0,0,20,22,0,18,3,0,1,14,22,12,5,0,0,34,0,120,20,16,0,0,478,5,6,9,9,5,6,0,2,0,0,0,2,2,2,0,0,0,0,2,11,2,0,2,0,19,3,1,0,2,1,0,0,13,7,2,1,18,1,2,0,0,0,0,0,3,0,0,0,0,0,4,1,0,L,17/02/2021
63,Michael Keane,90,0,0,0,0,0,49,4,0,2,3,0.0,0.0,0.0,0,0,32,40,2,27,2,0,0,17,32,18,0,0,0,48,0,141,33,32,0,0,711,11,11,14,14,6,14,0,3,0,0,2,0,0,0,0,0,0,1,0,2,2,0,1,0,39,1,1,0,2,1,0,0,27,2,11,9,29,2,0,0,0,0,3,0,2,0,0,0,0,0,5,2,0,L,17/02/2021
64,Yerry Mina,17,0,0,0,0,0,8,0,0,1,2,0.0,0.0,0.0,0,0,2,4,0,3,1,0,0,2,6,2,1,0,0,8,0,25,3,3,0,1,30,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,1,2,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,L,17/02/2021
65,S�amus Coleman,73,0,0,0,0,0,27,19,4,1,2,0.0,0.0,0.1,1,0,12,18,0,15,0,0,0,3,14,11,4,1,0,26,0,113,14,12,0,2,232,4,5,7,9,1,4,1,0,0,0,0,4,3,4,0,0,3,5,6,15,3,1,1,0,17,1,0,0,5,0,1,0,8,3,7,3,14,0,1,0,0,0,2,0,1,1,1,0,0,0,5,0,0,L,17/02/2021
66,Mason Holgate,90,0,0,0,0,0,43,26,2,1,1,0.0,0.0,0.0,0,0,24,31,2,15,1,0,0,11,23,21,1,0,0,40,0,36,22,22,0,0,585,6,7,12,15,6,9,0,2,0,0,2,2,1,2,0,0,1,3,6,19,6,1,0,0,28,3,1,0,5,1,1,0,20,4,7,3,21,2,2,0,0,0,0,0,1,2,0,0,0,0,6,4,2,L,17/02/2021
67,Jordan Pickford,90,0,0,0,0,0,53,0,0,0,0,0.0,0.0,0.0,0,0,31,47,0,24,0,0,0,47,52,1,0,0,0,39,0,169,23,23,0,0,1382,7,7,5,5,19,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,3,0,1,4,0,0,11,2,34,33,4,0,0,5,0,3,0,0,0,0,0,0,0,0,6,0,0,L,17/02/2021
68,Richarlison,85,0,1,1,0,0,21,18,0,0,1,0.4,0.4,0.0,2,0,7,14,1,19,2,2,2,0,1,9,12,5,0,21,2,97,49,17,2,2,92,4,7,2,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,4,7,0,0,14,0,0,0,5,0,0,0,11,2,1,4,9,1,0,0,0,0,1,2,1,1,3,2,0,0,2,0,4,W,20/02/2021
69,Alex Iwobi,5,0,0,0,0,0,2,3,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,20/02/2021
70,James Rodr�guez,61,1,1,1,0,0,32,6,1,2,1,0.0,0.0,0.4,2,1,22,26,2,24,1,1,2,1,9,16,11,0,0,31,1,79,25,19,0,1,420,5,6,16,16,1,2,1,2,0,0,2,1,1,1,0,0,1,2,1,2,2,2,0,0,25,1,0,1,4,1,0,1,23,2,1,25,1,0,0,0,0,0,1,0,1,0,1,0,0,0,8,0,0,W,20/02/2021
71,Dominic Calvert-Lewin,29,0,1,1,0,0,11,4,0,0,0,0.2,0.2,0.0,2,2,5,5,0,7,0,0,1,0,1,4,8,1,0,11,0,11,19,10,2,1,56,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,5,0,0,0,2,0,0,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,W,20/02/2021
72,Andr� Gomes,58,0,0,0,1,0,31,21,1,0,1,0.0,0.0,0.0,1,0,20,25,0,23,0,0,0,1,8,14,9,0,0,30,0,43,30,24,0,3,339,10,11,7,9,2,4,0,0,0,0,0,1,1,0,1,0,0,3,4,6,12,3,0,0,24,1,1,0,3,1,1,0,22,2,1,8,17,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,4,W,20/02/2021
73,Gylfi Sigur�sson,32,0,2,1,0,0,16,7,0,0,1,0.8,0.1,0.0,0,0,7,8,0,7,1,0,0,0,5,7,5,2,0,15,0,10,9,7,0,1,75,6,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,8,0,0,0,0,0,0,0,6,2,0,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,W,20/02/2021
74,Abdoulaye Doucour�,90,0,1,0,0,0,36,35,3,0,1,0.0,0.0,0.0,2,1,19,25,1,21,1,2,2,1,12,17,10,0,0,36,2,47,20,16,3,2,287,11,13,8,12,0,0,1,1,0,0,1,3,1,1,1,1,2,4,4,11,10,14,0,0,25,0,0,0,10,0,0,0,17,4,4,4,17,2,0,0,0,0,2,0,1,3,0,0,0,0,12,3,2,W,20/02/2021
75,Tom Davies,90,0,0,0,0,0,34,21,4,2,2,0.0,0.0,0.0,0,0,17,25,0,15,1,0,0,1,15,16,5,1,0,33,0,76,18,16,0,0,324,8,9,6,8,3,4,0,1,0,0,0,4,2,2,1,1,1,3,5,11,7,3,0,0,24,1,0,0,8,0,0,0,16,3,6,2,21,1,0,0,1,0,1,4,2,3,0,0,0,0,8,1,0,W,20/02/2021
76,Lucas Digne,90,0,1,0,0,0,48,16,3,0,1,0.0,0.0,0.2,1,0,19,34,3,23,3,0,0,4,21,17,14,0,0,38,0,103,26,21,0,2,442,7,8,6,12,5,12,1,0,1,1,3,3,2,3,0,0,0,1,6,11,3,2,0,0,24,10,2,0,5,4,3,1,12,8,14,25,1,1,7,0,0,2,1,1,1,1,0,0,0,0,4,2,3,W,20/02/2021
77,S�amus Coleman,90,0,1,1,0,0,26,12,2,0,2,0.2,0.2,0.0,1,0,10,13,1,17,0,1,1,4,11,10,6,1,0,26,1,57,22,14,2,1,248,5,6,1,1,4,4,0,1,1,0,1,2,1,1,1,0,2,4,6,4,6,2,0,0,13,0,0,1,3,1,0,0,7,3,3,4,9,0,0,0,0,0,0,2,2,2,2,0,0,0,5,0,1,W,20/02/2021
78,Ben Godfrey,90,0,0,0,0,0,37,12,1,1,4,0.0,0.0,0.0,0,0,16,25,0,16,0,0,0,8,26,11,1,1,0,37,0,26,15,13,1,0,281,6,9,10,12,0,4,0,0,0,0,0,1,1,0,1,0,1,1,7,10,2,0,2,0,25,0,0,0,3,0,0,0,16,2,7,3,18,3,0,1,0,2,0,0,2,0,0,0,0,0,11,4,1,W,20/02/2021
79,Michael Keane,90,0,0,0,0,0,41,4,0,3,3,0.0,0.0,0.0,0,0,20,22,1,15,0,0,0,22,33,9,0,0,0,40,0,57,12,11,0,0,450,4,4,9,9,5,6,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,1,0,21,1,1,0,3,2,0,0,13,4,5,8,11,2,0,0,0,0,0,1,2,0,0,0,0,0,10,3,0,W,20/02/2021
80,Mason Holgate,90,0,0,0,0,0,45,8,2,2,3,0.0,0.0,0.0,1,0,17,33,2,14,0,0,0,6,26,18,2,0,0,37,0,53,11,11,0,0,340,3,5,12,14,2,14,0,4,0,0,2,2,2,1,1,0,1,4,4,5,3,0,0,1,25,8,0,0,7,0,0,0,10,6,17,2,15,5,8,0,1,2,3,0,3,1,3,0,0,0,13,3,0,W,20/02/2021
81,Jordan Pickford,90,0,0,0,0,0,44,0,0,0,0,0.0,0.0,0.0,0,0,13,40,0,19,0,0,0,39,43,1,0,0,0,28,0,170,11,11,0,0,843,0,0,3,3,10,37,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,5,2,2,2,0,0,5,0,35,27,0,0,0,2,0,5,1,0,0,0,0,0,0,0,2,0,0,W,20/02/2021
82,Richarlison,89,0,3,1,0,0,38,23,2,1,0,1.2,1.2,0.0,2,1,11,22,2,23,7,1,4,1,8,17,15,4,0,38,1,125,55,26,3,2,154,7,9,4,11,30/12,1,0,1,0,0,2,2,1,1,0,1,0,0,5,2,12,9,0,0,22,0,0,0,4,0,2,0,16,3,3,6,13,3,0,0,0,1,3,0,0,1,1,2,0,0,7,2,6,W,01/03/2021
83,Joshua King,1,0,0,0,0,0,3,3,0,0,1,0.0,0.0,0.0,0,0,1,1,0,2,0,0,0,0,2,0,1,0,0,3,0,4,3,2,0,1,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,W,01/03/2021
84,Dominic Calvert-Lewin,90,0,1,0,0,0,44,11,0,0,1,0.1,0.1,0.0,1,0,18,27,2,19,2,0,3,3,9,17,20,4,0,44,0,69,61,29,4,3,197,15,22,1,3,1,1,0,0,0,0,2,0,0,0,0,0,0,2,4,2,3,6,0,0,27,0,0,0,8,0,0,0,11,7,9,1,15,3,0,3,0,0,2,0,1,3,4,1,0,0,10,9,4,W,01/03/2021
85,Gylfi Sigurðsson,90,1,1,0,0,0,37,28,3,1,2,0.1,0.1,1.3,5,1,19,29,2,18,1,0,1,1,3,15,20,1,0,32,0,54,28,20,0,1,306,9,11,6,10,3,6,4,0,1,0,2,3,1,0,1,2,1,2,12,1,14,13,1,0,23,6,3,1,7,0,4,3,16,4,9,5,23,0,0,0,2,0,1,0,1,0,1,0,0,0,6,1,0,W,01/03/2021
86,André Gomes,86,0,0,0,0,0,52,27,4,2,4,0.0,0.0,0.0,0,0,32,40,7,37,5,3,7,1,12,37,6,0,0,52,3,148,36,32,0,0,794,11,15,11,13,10,12,0,5,0,0,7,4,4,1,3,0,3,4,11,8,14,5,0,0,40,0,0,0,6,4,0,0,26,6,8,7,30,0,0,0,0,2,1,0,4,3,0,0,0,0,9,3,2,W,01/03/2021
87,Alex Iwobi,4,0,0,0,0,0,6,2,0,0,0,0.0,0.0,0.0,0,0,2,3,0,7,0,3,6,0,0,0,6,0,0,6,3,7,3,3,0,0,23,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,W,01/03/2021
88,Abdoulaye Doucouré,90,0,0,0,0,0,51,23,3,6,0,0.0,0.0,0.0,0,0,27,39,2,30,3,3,5,1,10,36,8,2,0,51,3,110,30,26,2,0,546,12,17,9,13,5,8,0,2,1,0,2,3,1,1,2,0,0,1,8,9,11,3,0,0,39,0,0,0,4,2,0,0,28,5,6,8,26,4,0,1,1,1,1,2,0,0,0,0,0,0,11,0,0,W,01/03/2021
89,Allan,90,0,0,0,0,0,47,17,2,3,2,0.0,0.0,0.0,0,0,33,38,6,25,1,0,4,4,21,25,4,0,0,47,0,105,29,28,1,0,612,14,14,14,17,5,6,0,2,1,0,6,2,1,0,2,0,0,2,5,5,12,0,1,0,38,0,0,0,7,0,0,0,26,8,4,5,33,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,2,W,01/03/2021
90,Lucas Digne,90,0,0,0,0,0,77,16,5,0,3,0.0,0.0,0.0,2,0,46,62,3,27,4,1,2,3,19,40,24,1,0,61,2,141,38,33,1,1,832,20,25,20,27,5,9,1,1,0,0,3,5,2,4,1,0,1,1,4,6,7,3,0,0,46,16,3,0,6,2,3,1,25,20,17,35,0,10,12,0,1,1,4,0,3,2,2,0,0,0,12,6,0,W,01/03/2021
91,Ben Godfrey,90,0,1,0,0,0,52,6,1,1,1,0.1,0.1,0.0,0,0,40,44,1,32,1,1,2,8,37,20,1,1,0,51,1,273,37,36,0,0,854,9,10,25,26,5,7,0,1,0,0,1,1,1,1,0,0,0,0,2,5,1,0,0,0,43,1,0,0,4,1,0,0,39,2,3,5,36,1,0,0,0,2,0,0,1,0,0,0,0,0,6,2,1,W,01/03/2021
92,Michael Keane,90,0,1,0,0,0,61,3,0,2,1,0.0,0.0,0.0,0,0,38,44,1,35,2,1,2,11,46,17,3,3,0,61,1,185,39,38,0,0,872,6,7,25,28,6,8,0,1,0,0,1,0,0,0,0,0,0,0,3,1,2,0,1,0,44,0,0,0,5,2,0,0,35,2,7,4,36,1,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,W,01/03/2021
93,Mason Holgate,90,0,0,0,0,0,59,18,4,3,4,0.0,0.0,0.0,1,0,28,44,2,26,2,0,0,4,25,29,7,0,0,47,0,104,29,24,0,0,605,7,7,15,20,5,16,0,3,0,0,2,4,2,1,2,1,0,1,3,8,8,2,1,0,32,12,1,0,4,3,1,0,14,12,18,4,26,2,11,0,0,1,2,0,3,4,2,1,0,0,4,2,0,W,01/03/2021
94,Jordan Pickford,90,0,0,0,0,0,53,0,0,0,0,0.0,0.0,0.0,0,0,37,47,0,27,0,0,0,43,52,1,0,0,0,45,0,132,35,35,0,0,1348,5,5,13,13,19,29,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,4,2,0,0,21,2,24,35,7,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,W,01/03/2021
95,Richarlison,90,0,5,1,0,0,37,9,1,0,0,0.5,0.5,0.0,1,0,11,19,1,25,4,0,1,3,9,10,24,7,0,37,0,139,51,26,2,4,167,6,8,5,7,30/12,1,0,0,1,0,1,1,1,1,0,0,1,1,4,2,3,4,0,0,19,0,0,0,4,0,0,0,16,3,0,5,13,1,0,0,1,0,1,3,0,1,1,1,0,0,6,1,2,W,04/03/2021
96,Dominic Calvert-Lewin,90,0,2,1,0,0,46,4,1,1,5,0.6,0.6,0.2,2,0,23,30,6,19,2,1,2,1,4,29,17,5,0,46,1,125,56,30,2,3,459,12,17,6,7,5,6,2,2,2,0,6,1,0,0,0,1,0,0,0,0,3,1,0,0,30,0,0,0,5,1,0,0,16,10,4,1,22,3,0,1,0,0,2,0,5,1,0,0,0,0,8,4,5,W,04/03/2021
97,Bernard,83,0,1,0,0,0,66,8,1,2,1,0.0,0.0,0.0,1,0,43,56,5,47,5,2,2,1,6,40,25,2,0,65,2,240,53,46,2,1,760,20,23,15,19,7,9,1,4,1,0,5,1,1,0,1,0,1,4,3,5,2,1,0,0,55,1,0,0,4,0,2,0,42,2,12,9,43,2,0,2,1,1,1,4,1,0,1,0,0,0,14,0,0,W,04/03/2021
98,Joshua King,7,0,0,0,0,0,7,1,0,0,0,0.0,0.0,0.0,0,0,3,5,0,5,2,1,1,0,1,2,5,0,0,7,1,69,8,6,1,0,36,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,4,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,W,04/03/2021
99,Lucas Digne,90,0,0,0,0,0,90,11,5,3,3,0.0,0.0,0.2,6,0,47,73,3,40,5,0,0,5,33,36,26,2,0,75,0,239,45,36,2,1,650,30,34,13,23,3,12,2,2,1,1,3,5,3,4,1,0,2,3,3,8,3,0,0,0,58,15,3,0,10,0,6,2,29,20,24,48,1,9,10,0,0,0,1,3,3,0,1,1,0,0,23,6,0,W,04/03/2021
100,André Gomes,90,0,2,1,0,0,81,13,1,1,0,0.1,0.1,0.0,1,0,59,70,5,55,5,2,3,4,20,56,11,0,0,81,3,238,63,59,1,2,1129,23,24,28,32,7,11,1,6,0,0,5,1,0,0,0,1,1,5,5,4,8,1,0,0,70,0,0,0,5,2,0,0,56,7,7,16,53,1,0,0,0,1,5,1,0,2,1,0,0,0,17,2,0,W,04/03/2021
101,Abdoulaye Doucouré,63,0,0,0,0,0,39,10,1,0,0,0.0,0.0,0.0,2,0,29,34,2,24,1,1,1,3,12,22,7,1,0,38,1,139,35,31,0,1,476,13,17,14,14,1,1,1,1,1,0,2,1,1,1,0,0,0,2,5,9,1,0,0,0,33,1,1,0,9,0,0,0,31,2,1,7,26,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,3,W,04/03/2021
102,Gylfi Sigurðsson,27,1,0,0,0,0,14,5,0,0,3,0.0,0.0,0.2,1,1,4,7,1,6,0,0,0,0,3,4,7,1,0,12,0,5,11,5,1,1,77,1,1,3,4,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,4,1,0,0,5,2,1,0,0,0,3,1,3,1,3,0,7,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,W,04/03/2021
103,Alex Iwobi,57,0,0,0,0,0,26,2,2,1,0,0.0,0.0,0.0,1,0,14,18,1,20,4,3,5,2,7,11,11,2,0,24,3,126,23,16,1,0,235,8,9,5,5,1,3,0,1,1,0,1,2,0,0,0,2,1,1,0,0,0,2,0,0,16,2,0,0,1,0,1,0,13,2,3,2,14,0,2,0,0,0,0,1,0,0,1,0,0,0,3,0,0,W,04/03/2021
104,Allan,33,0,0,0,0,0,24,5,0,0,1,0.0,0.0,0.0,0,0,15,20,1,15,2,0,1,2,9,14,3,0,0,24,1,87,18,18,0,0,320,5,5,7,12,3,3,0,2,0,0,1,0,0,0,0,0,0,1,2,4,1,0,1,0,20,0,0,0,1,0,0,0,12,2,6,3,16,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,W,04/03/2021
105,Ben Godfrey,90,0,1,0,0,0,70,9,0,0,4,0.0,0.0,0.0,0,0,50,57,4,46,5,0,0,12,42,36,1,0,0,70,0,471,46,46,0,0,886,22,24,24,24,4,9,0,2,0,0,4,0,0,0,0,0,0,2,3,6,3,0,3,0,57,0,0,0,5,1,0,0,47,5,5,6,47,3,0,0,0,1,0,0,1,0,1,0,0,0,12,4,0,W,04/03/2021
106,Michael Keane,90,0,0,0,0,0,65,5,1,0,0,0.0,0.0,0.0,0,0,54,58,2,44,2,0,0,10,35,39,0,0,0,63,0,306,47,46,0,0,1231,13,13,28,29,12,15,0,2,0,0,2,1,1,0,1,0,1,1,2,4,1,0,0,0,56,2,2,0,2,0,0,0,45,6,7,14,39,3,0,1,0,0,1,0,0,0,1,0,0,0,9,3,1,W,04/03/2021
107,Mason Holgate,90,0,0,0,1,0,63,13,7,3,1,0.0,0.0,0.0,1,0,42,48,3,36,1,0,0,6,31,26,6,0,0,60,0,123,38,37,2,0,794,16,16,21,24,5,8,0,2,0,0,3,7,4,2,4,1,3,3,3,3,7,3,0,0,45,3,1,0,2,2,2,0,32,6,10,7,34,5,2,0,0,0,0,0,1,3,0,0,0,0,9,2,1,W,04/03/2021
108,Jordan Pickford,90,0,0,0,0,0,37,0,0,0,0,0.0,0.0,0.0,1,0,28,36,0,17,0,0,0,32,37,0,0,0,0,29,0,71,20,20,0,0,1029,4,4,10,10,14,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,4,0,2,0,0,0,16,1,19,27,1,0,0,5,0,3,0,0,0,0,0,0,0,0,5,0,0,W,04/03/2021
