,shots,shots_on_target,yellow_cards,red_cards,team_touches,pressures,tackles,interceptions,blocks,xg,op_xg,xa,shot_creating_actions,passes_completed,passes_attempted,progressive_distance_passed,carries,progressive_distance_carried,dribbles_completed,dribbles_attempted,defensive_pen_area_touches,D3_touches,M3_touches,A3_touches,attacking_pen_area_touches,shot_on_target_blocks,live_ball_touches,players_dribbles_past,carries_total_distance,pass_target,passes_received,miscontrols,possessions_lost,total_distance_passed,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,key_passes,final_third_entry_passes,penalty_area_entry_passes,penalty_area_entry_crosses,progressive_passes,tackles_attempted,tackles_won,D3_tackles,M3_tackles,A3_tackles,dribbler_tackles_completed,dribbler_tackles_attempted,pressure_regains,D3_pressures,M3_pressures,A3_pressures,shot_blocks,errors,live_ball_passes,dead_ball_passes,free_kicks_taken,through_balls,pressured_passes,switch_passes,crosses,corners,ground_passes,low_passes,hight_passes,left_foot_passes,right_foot_passes,head_passes,throw_ins_taken,other_pass_type,passes_to_offside,passes_out_of_play,passes_intercepted,passes_blocked,pass_blocks,fouls,fouls_drawn,offside,penalties_won,penalties_conceded,ball_recoveries,aerials_won,aerials_lost,team_result
42,11,5,3,1,517,168,11,2,14,1.3,1.3,1.1,20,307,410,22,321,23,5,12,91,219,207,112,12,0,475,5,1304,362,307,8,17,6606,130,156,104,128,69,116,9,23,5,3,22,11,8,7,4,0,8,22,49,61,89,18,5,1,367,43,12,3,67,10,14,2,228,74,108,150,191,26,12,6,2,9,3,8,9,20,10,2,0,0,102,27,9,D
43,6,2,2,1,638,213,17,8,17,0.3,0.3,0.3,10,446,532,35,399,32,11,16,55,224,325,121,15,0,598,11,1798,500,446,11,15,9022,158,180,213,239,68,95,4,34,8,1,35,17,13,6,10,1,11,25,52,55,116,42,2,0,490,42,11,0,51,16,13,5,400,46,86,175,313,20,17,0,1,5,8,9,15,11,13,1,0,0,83,9,6,L
44,15,4,4,0,775,124,20,1,17,1.2,1.2,0.7,28,577,657,32,518,63,6,16,52,230,363,225,24,0,732,6,2859,619,577,16,8,10890,225,245,273,300,69,89,13,52,7,1,32,20,9,7,9,4,1,10,31,33,52,39,3,0,614,43,10,1,64,10,14,4,468,93,96,159,442,17,23,10,0,4,2,14,14,13,9,0,0,1,83,13,2,L
45,7,1,4,0,683,147,23,4,14,0.7,0.7,0.6,12,477,584,34,414,39,13,18,70,251,306,179,23,0,632,13,2515,540,477,13,14,9998,154,174,227,250,80,126,6,34,10,1,34,23,17,13,8,2,8,18,51,64,57,26,3,1,529,55,21,0,58,23,17,5,357,94,133,172,350,18,19,14,2,11,11,17,11,16,22,3,0,0,93,15,15,L
46,9,7,0,0,660,202,21,16,15,1.6,1.6,0.9,15,426,554,22,367,31,6,11,73,285,271,142,25,0,619,7,2227,517,426,10,10,8464,163,193,179,207,72,127,7,23,8,2,22,21,13,13,6,2,7,25,63,112,56,34,5,0,510,44,16,0,47,12,15,5,355,78,121,152,337,21,16,10,3,8,6,18,10,12,16,3,0,1,107,16,12,W
47,17,9,1,0,554,108,14,19,30,1.4,1.4,1.5,31,329,427,27,368,40,14,19,81,220,231,147,25,0,513,14,2372,399,329,9,12,7023,125,147,128,154,68,105,15,24,9,1,27,14,7,7,3,4,4,13,33,44,43,21,10,0,383,44,20,1,52,11,5,4,281,42,104,137,233,20,11,8,1,7,13,14,20,10,17,2,0,0,82,17,15,L
48,13,6,0,0,732,110,18,6,13,1.6,1.6,1.6,20,506,623,41,482,63,9,13,89,282,348,148,24,0,697,9,2913,599,506,14,11,9549,215,238,202,233,76,124,11,29,13,2,41,18,13,10,8,0,6,20,37,40,54,16,3,0,588,35,6,1,90,21,12,4,434,80,109,160,396,27,20,9,3,15,9,14,10,10,12,3,0,0,120,20,16,D
49,8,3,2,0,423,186,14,22,24,1.2,0.4,0.5,16,187,286,18,211,18,14,22,65,168,167,123,18,0,375,14,1179,264,187,17,13,4188,69,89,75,99,38,77,7,11,6,2,18,14,4,9,2,3,4,19,57,86,69,31,3,0,239,47,10,0,53,11,8,6,142,53,91,54,170,18,24,2,2,10,5,16,21,14,12,4,1,0,82,22,20,W
50,11,6,3,0,484,147,12,10,20,1.4,1.4,0.5,16,277,370,18,304,23,9,14,67,203,202,113,18,0,440,10,1584,337,277,9,17,5953,103,127,113,133,55,98,8,17,5,2,18,12,10,8,2,2,4,17,40,68,59,20,7,2,324,46,15,0,23,11,5,6,220,39,111,46,266,24,18,3,2,7,16,7,13,10,15,2,0,0,85,20,15,W
51,9,2,1,0,531,132,21,9,11,0.7,0.7,0.5,16,351,435,19,319,47,11,15,82,195,234,128,18,0,486,11,1974,416,351,12,6,7723,106,128,179,196,60,92,6,27,5,2,19,21,14,15,4,2,2,11,41,56,46,30,6,0,391,44,8,0,52,11,11,4,298,54,83,83,302,14,17,3,1,9,10,16,5,10,11,1,0,1,63,15,5,W
52,7,3,4,0,692,71,19,8,17,0.6,0.6,0.6,12,449,561,30,431,37,20,32,75,284,329,122,18,1,649,22,2339,535,449,14,15,9108,171,194,198,228,72,120,6,29,7,0,30,19,13,12,7,0,4,11,33,29,27,15,4,0,516,45,11,0,35,18,7,3,391,74,96,107,376,35,25,4,1,8,12,14,13,13,15,3,0,0,112,21,20,W
53,10,2,2,0,723,96,15,9,19,0.3,0.3,0.2,12,515,629,39,481,66,10,15,69,244,377,171,18,0,686,10,3322,606,515,12,11,9475,219,248,231,264,60,98,6,42,9,3,39,15,7,10,4,1,7,18,32,39,39,18,2,0,591,38,7,0,52,13,12,5,470,70,89,148,432,15,18,10,1,7,14,17,17,14,8,2,0,0,104,15,22,L
54,5,3,2,0,615,69,9,15,11,0.5,0.5,0.5,8,458,532,39,382,40,8,15,64,202,316,140,16,0,574,9,1999,532,458,8,7,9100,159,176,233,256,59,84,5,32,8,2,39,9,7,1,7,1,5,15,13,22,29,18,4,0,491,41,6,1,83,11,16,5,404,60,68,168,323,8,18,5,1,6,19,8,7,12,8,1,0,0,48,17,8,W
55,8,2,1,0,468,72,17,13,30,0.6,0.6,0.6,9,248,339,12,241,19,8,16,85,209,161,125,16,0,425,9,1339,330,248,5,13,5049,102,120,94,116,47,88,4,14,5,4,12,17,9,11,2,4,8,18,18,35,22,15,11,1,295,44,11,0,26,11,15,5,208,46,85,130,160,18,17,2,2,8,10,11,19,16,13,2,0,0,72,14,15,D
56,11,3,3,0,657,124,18,7,24,1.0,1.0,0.8,17,442,534,41,447,41,4,8,78,235,305,168,28,0,619,4,2392,523,442,10,15,8741,184,201,174,202,74,108,9,32,10,1,41,18,8,12,4,2,10,18,33,51,47,26,6,0,495,39,7,0,64,18,15,7,371,71,92,192,286,15,14,11,3,9,6,10,18,15,10,4,0,0,86,24,10,L
57,10,6,3,0,505,111,24,10,22,1.9,1.9,1.2,14,268,357,21,260,32,11,18,73,198,234,121,17,0,459,12,1840,342,268,13,19,5472,110,125,103,132,47,79,6,18,6,1,21,24,16,12,8,4,12,21,35,52,38,21,4,0,311,46,12,1,120,7,9,1,226,39,92,79,220,16,21,5,1,7,11,13,18,12,12,1,0,0,84,25,14,W
58,6,3,1,0,536,200,18,11,21,1.1,1.1,0.5,9,337,423,26,284,23,6,11,77,256,216,96,20,0,490,6,1444,418,337,8,12,6940,129,154,147,160,55,88,4,19,5,0,26,18,16,16,2,0,7,22,65,96,79,25,3,0,377,46,14,1,69,10,12,1,294,56,73,120,255,16,20,4,3,8,9,17,18,14,15,3,0,0,68,11,16,D
59,7,2,1,0,668,72,24,10,13,0.4,0.4,0.2,11,467,571,27,472,28,4,7,72,271,314,115,8,0,618,5,1724,535,467,7,10,10072,122,144,256,282,79,123,5,29,5,3,27,24,12,14,8,2,6,11,21,28,29,15,3,0,518,53,18,0,51,13,13,5,411,70,90,152,367,15,21,4,3,8,17,12,10,8,17,3,0,0,74,14,11,L
60,3,1,2,0,436,175,22,14,18,1.2,1.2,0.3,5,236,317,17,227,17,4,10,105,220,164,71,8,0,407,4,1260,300,236,11,12,5554,84,100,98,109,52,100,2,16,4,0,17,22,15,17,4,1,10,22,51,88,67,20,5,0,288,29,8,0,49,10,10,0,179,43,95,94,183,14,6,6,0,8,9,6,13,9,10,0,0,0,74,16,13,L
61,8,5,1,0,424,167,17,10,20,1.6,0.9,0.6,12,192,295,11,222,9,6,8,87,211,149,85,11,0,385,6,829,270,192,12,13,4197,73,88,82,103,32,87,3,17,3,1,11,17,11,9,6,2,8,25,43,77,53,37,3,1,257,38,9,4,55,11,4,2,161,40,94,113,130,16,15,3,2,11,10,10,17,14,10,2,1,0,82,16,16,W
62,7,1,0,0,580,177,24,19,19,1.5,1.5,1.3,11,332,440,28,308,28,13,36,80,244,254,115,16,0,538,14,1457,423,332,11,8,7162,116,144,145,183,64,103,5,20,3,0,28,24,13,9,11,4,5,13,60,49,85,43,4,0,397,43,7,1,61,16,10,4,259,72,109,115,248,24,23,7,4,8,14,3,15,13,10,4,0,0,87,34,17,W
63,11,3,1,0,665,95,20,11,18,1.1,1.1,0.6,17,422,531,34,399,38,10,16,81,249,325,143,20,0,631,12,2378,514,422,14,13,8249,175,198,180,211,62,101,8,26,8,2,34,20,11,8,7,5,10,23,32,45,37,13,4,0,497,34,12,0,51,6,14,3,362,67,102,146,319,29,14,9,2,6,12,17,14,7,7,2,0,0,115,23,12,W
